Popularity,Unique_ID,Name,Genre,Country,Song_Name,Timestamp,Views,Comments,Likes,Followers
0.0,6450,6450,6450,6450,6450,6450,6450,6450,6450,6450
1.0,2552,2552,2552,2552,2552,2552,2552,2552,2552,2552
2.0,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712
3.0,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367
4.0,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131
5.0,993,993,993,993,993,993,993,993,993,993
6.0,946,946,946,946,946,946,946,946,946,946
7.0,962,962,962,962,962,962,962,962,962,962
8.0,773,773,773,773,773,773,773,773,773,773
9.0,716,716,716,716,716,716,716,716,716,716
10.0,637,637,637,637,637,637,637,637,637,637
11.0,607,607,607,607,607,607,607,607,607,607
12.0,597,597,597,597,597,597,597,597,597,597
13.0,532,532,532,532,532,532,532,532,532,532
14.0,527,527,527,527,527,527,527,527,527,527
15.0,483,483,483,483,483,483,483,483,483,483
16.0,472,472,472,472,472,472,472,472,472,472
17.0,430,430,430,430,430,430,430,430,430,430
18.0,413,413,413,413,413,413,413,413,413,413
19.0,435,435,435,435,435,435,435,435,435,435
20.0,373,373,373,373,373,373,373,373,373,373
21.0,359,359,359,359,359,359,359,359,359,359
22.0,382,382,382,382,382,382,382,382,382,382
23.0,333,333,333,333,333,333,333,333,333,333
24.0,347,347,347,347,347,347,347,347,347,347
25.0,360,360,360,360,360,360,360,360,360,360
26.0,350,350,350,350,350,350,350,350,350,350
27.0,350,350,350,350,350,350,350,350,350,350
28.0,309,309,309,309,309,309,309,309,309,309
29.0,338,338,338,338,338,338,338,338,338,338
30.0,289,289,289,289,289,289,289,289,289,289
31.0,296,296,296,296,296,296,296,296,296,296
32.0,304,304,304,304,304,304,304,304,304,304
33.0,315,315,315,315,315,315,315,315,315,315
34.0,280,280,280,280,280,280,280,280,280,280
35.0,307,307,307,307,307,307,307,307,307,307
36.0,301,301,301,301,301,301,301,301,301,301
37.0,296,296,296,296,296,296,296,296,296,296
38.0,257,257,257,257,257,257,257,257,257,257
39.0,275,275,275,275,275,275,275,275,275,275
40.0,276,276,276,276,276,276,276,276,276,276
41.0,252,252,252,252,252,252,252,252,252,252
42.0,249,249,249,249,249,249,249,249,249,249
43.0,263,263,263,263,263,263,263,263,263,263
44.0,268,268,268,268,268,268,268,268,268,268
45.0,263,263,263,263,263,263,263,263,263,263
46.0,242,242,242,242,242,242,242,242,242,242
